Taxa,Longitud,Latitud
Zea mays subsp. mexicana raza Mesa Central,-104.5666667,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-102.05,20.06666667
Zea mays subsp. mexicana raza Mesa Central,-102.0666667,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.9333333,20.1
Zea mays subsp. mexicana raza Mesa Central,-101.4833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-102.0333333,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.4833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-101.4666667,20.03333333
Zea mays subsp. mexicana raza Mesa Central,-101.2333333,20.05
Zea mays subsp. mexicana raza Mesa Central,-101.1833333,20.06666667
Zea mays subsp. mexicana raza Mesa Central,-101.15,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.15,20
Zea mays subsp. mexicana raza Mesa Central,-101.2833333,19.98333333
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,19.88333333
Zea mays subsp. mexicana raza Mesa Central,-101.3833333,19.86666667
Zea mays subsp. mexicana raza Mesa Central,-102.1,20.15
Zea mays subsp. parviglumis raza Balsas,-100.4333333,19.26666667
Zea mays subsp. parviglumis raza Balsas,-100.4833333,19.21666667
Zea mays subsp. parviglumis raza Balsas,-100.8333333,18.85
Zea mays subsp. parviglumis raza Balsas,-100.85,18.85
Zea mays subsp. mexicana raza Chalco,-98.91666667,19.56666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-104.5833333,20.8
Zea mays subsp. parviglumis raza Balsas,-104.55,20.8
Zea mays subsp. parviglumis raza Balsas,-104.55,20.83333333
Zea mays subsp. mexicana raza Mesa Central,-102.0333333,20.18333333
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.15
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-101.45,20.11666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.96666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.96666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.9
Zea mays subsp. mexicana raza Mesa Central,-101.15,20.01666667
Zea mays subsp. mexicana raza Mesa Central,-101.8333333,20.75
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.95
Zea mays subsp. parviglumis raza Balsas,-104.8166667,19.7
Zea mays subsp. mexicana raza Mesa Central,-102.8833333,20.1
Zea mays subsp. mexicana raza Nobogame,-106.9666667,26.21666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.5666667,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.08333333
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.25
Zea mays subsp. mexicana raza Chalco,-98.85,19.25
Zea mays subsp. mexicana raza Chalco,-98.78333333,19.16666667
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.13333333
Zea mays subsp. mexicana raza Chalco,-98.75,19.08333333
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.16666667
Zea mays subsp. mexicana raza Chalco,-98.81666667,19.05
Zea mays subsp. mexicana raza Chalco,-98.83333333,19.01666667
Zea mays subsp. mexicana raza Chalco,-98.86666667,19.15
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.35
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.25
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.18333333
Zea mays subsp. parviglumis raza Balsas,-99.46666667,17.43333333
Zea mays subsp. parviglumis raza Balsas,-99.48333333,17.35
Zea mays subsp. parviglumis raza Balsas,-99.46666667,17.4
Zea mays subsp. parviglumis raza Balsas,-99.78333333,18.5
Zea mays subsp. parviglumis raza Balsas,-99.8,18.46666667
Zea mays subsp. parviglumis raza Balsas,-99.8,18.31666667
Zea mays subsp. parviglumis raza Balsas,-99.83333333,18.35
Zea mays subsp. parviglumis raza Balsas,-99.9,18.4
Zea mays subsp. parviglumis raza Balsas,-99.96666667,18.4
Zea mays subsp. parviglumis raza Balsas,-100.0333333,18.36666667
Zea mays subsp. parviglumis raza Balsas,-100.0666667,18.38333333
Zea mays subsp. parviglumis raza Balsas,-100.9666667,18.71666667
Zea mays subsp. parviglumis raza Balsas,-100.4166667,19.3
Zea mays subsp. parviglumis raza Balsas,-100.4166667,19.28333333
Zea mays subsp. mexicana raza Mesa Central,-100.6,19.7
Zea mays subsp. parviglumis raza Balsas,-100.9166667,19.6
Zea mays subsp. mexicana raza Mesa Central,-101.2333333,19.75
Zea mays subsp. mexicana raza Mesa Central,-101.1833333,19.73333333
Zea mays subsp. mexicana raza Mesa Central,-102.3833333,20.16666667
Zea mays subsp. mexicana raza Chalco,-98.91666667,19.5
Zea mays subsp. parviglumis raza Balsas,-103.0833333,19.3
Zea mays subsp. parviglumis raza Balsas,-99.5,18.95
Zea mays subsp. parviglumis raza Balsas,-100.2,18.9
Zea mays subsp. parviglumis raza Balsas,-100.25,18.88333333
Zea mays subsp. parviglumis raza Balsas,-100.35,18.63333333
Zea mays subsp. parviglumis raza Balsas,-100.4,18.68333333
Zea mays subsp. parviglumis raza Balsas,-100.3166667,18.7
Zea mays subsp. parviglumis raza Balsas,-100.3166667,18.75
Zea mays subsp. parviglumis raza Balsas,-100.3166667,18.98333333
Zea mays subsp. parviglumis raza Balsas,-100.2666667,19.08333333
Zea mays subsp. parviglumis raza Balsas,-100.2,19.16666667
Zea mays subsp. parviglumis raza Balsas,-100.3833333,19.15
Zea mays subsp. parviglumis raza Balsas,-100.3166667,19.16666667
Zea mays subsp. parviglumis raza Balsas,-99.03333333,18.96666667
Zea mays subsp. parviglumis raza Balsas,-100.2833333,19.18333333
Zea mays subsp. parviglumis raza Balsas,-100.3,19.1
Zea mays subsp. parviglumis raza Balsas,-100.3833333,18.8
Zea mays subsp. parviglumis raza Balsas,-100.9666667,18.81666667
Zea mays subsp. parviglumis raza Balsas,-100.9,18.85
Zea mays subsp. parviglumis raza Balsas,-100.8166667,18.88333333
Zea mays subsp. parviglumis raza Balsas,-100.8,19.28333333
Zea mays subsp. parviglumis raza Balsas,-100.8666667,19.36666667
Zea mays subsp. parviglumis raza Balsas,-100.9,19.45
Zea mays subsp. mexicana raza Mesa Central,-101.6,19.4
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.38333333
Zea mays subsp. parviglumis raza Balsas,-97.03333333,16.33333333
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.53333333
Zea mays subsp. parviglumis raza Balsas,-104.7666667,19.75
Zea mays subsp. parviglumis raza Balsas,-104.05,19.98333333
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.96666667
Zea perennis,-103.5833333,19.63333333
Zea perennis,-103.5666667,19.63333333
Zea perennis,-103.5833333,19.65
Zea diploperennis,-104.2,19.61666667
Zea mays subsp. parviglumis raza Balsas,-104.4,20.8
Zea mays subsp. parviglumis raza Balsas,-104.2333333,20.6
Zea mays subsp. parviglumis raza Balsas,-104.5,20.68333333
Zea mays subsp. parviglumis raza Balsas,-104.4166667,20.63333333
Zea mays subsp. mexicana raza Chalco,-98.98333333,19.36666667
Zea mays subsp. parviglumis raza Balsas,-99.18333333,18.28333333
Zea mays subsp. parviglumis raza Balsas,-100.1166667,18.33333333
Zea mays subsp. parviglumis raza Balsas,-99.96666667,18.38333333
Zea mays subsp. mexicana raza Mesa Central,-101.9333333,20.1
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,20.15
Zea mays subsp. parviglumis raza Balsas,-100.4666667,19.26666667
Zea mays subsp. mexicana raza Mesa Central,-102.3666667,20.18333333
Zea mays subsp. mexicana raza Mesa Central,-102.1,20.2
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.16666667
Zea mays subsp. mexicana raza Chalco,-97.55,19.08333333
Zea mays subsp. mexicana raza Chalco,-97.53333333,19.06666667
Zea mays subsp. mexicana raza Chalco,-97.63333333,19.11666667
Zea mays subsp. mexicana raza Chalco,-97.55,19.16666667
Zea mays subsp. mexicana raza Chalco,-99.46666667,19.26666667
Zea mays subsp. mexicana raza Chalco,-99.46666667,19.2
Zea mays subsp. parviglumis raza Balsas,-104.6166667,19.91666667
Zea mays subsp. parviglumis raza Balsas,-104.1166667,20.71666667
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,19.9
Zea mays subsp. parviglumis raza Balsas,-104.15,19.91666667
Zea mays subsp. parviglumis raza Balsas,-104,19.95
Zea diploperennis,-104.2166667,19.6
Zea diploperennis,-104.2,19.5
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.25
Zea mays subsp. mexicana raza Mesa Central,-102.6,20.3
Zea mays subsp. mexicana raza Mesa Central,-102.6166667,20.31666667
Zea mays subsp. mexicana raza Mesa Central,-102.9,20.4
Zea mays subsp. mexicana raza Mesa Central,-102.6166667,20.31666667
Zea mays subsp. mexicana raza Mesa Central,-102.9333333,20.36666667
Zea mays subsp. mexicana raza Nobogame,-106.95,26.21666667
Zea mays subsp. mexicana raza Nobogame,-106.9333333,26.21666667
Zea mays subsp. parviglumis raza Balsas,-104.4166667,20.63333333
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.08333333
Zea mays subsp. parviglumis raza Balsas,-100.9,18.81666667
Zea mays subsp. parviglumis raza Balsas,-100.9333333,18.8
Zea mays subsp. parviglumis raza Balsas,-100.9333333,18.78333333
Zea mays subsp. parviglumis raza Balsas,-100.95,18.86666667
Zea mays subsp. parviglumis raza Balsas,-101.0333333,18.93333333
Zea mays subsp. parviglumis raza Balsas,-101.3166667,19.15
Zea mays subsp. mexicana raza Mesa Central,-102.05,20.15
Zea mays subsp. mexicana raza Mesa Central,-102.35,20.15
Zea mays subsp. mexicana raza Chalco,-98.33333333,19.2
Zea mays subsp. mexicana raza Chalco,-97.5,19.05
Zea mays subsp. mexicana raza Chalco,-97.53333333,19.1
Zea mays subsp. mexicana raza Chalco,-97.6,19.1
Zea mays subsp. mexicana raza Chalco,-97.56666667,19.16666667
Zea mays subsp. mexicana raza Chalco,-97.41666667,19.06666667
Zea mays subsp. mexicana raza Chalco,-98.48333333,19.08333333
Zea mays subsp. mexicana raza Mesa Central,-102.3333333,20.41666667
Zea mays subsp. parviglumis raza Balsas,-104.2166667,20.6
Zea mays subsp. parviglumis raza Balsas,-104.3833333,20.78333333
Zea mays subsp. parviglumis raza Balsas,-104.4,20.81666667
Zea mays subsp. parviglumis raza Balsas,-104.55,20.83333333
Zea mays subsp. parviglumis raza Balsas,-104.5333333,20.8
Zea mays subsp. parviglumis raza Balsas,-104.0333333,19.45
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.36666667
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.33333333
Zea mays subsp. mexicana raza Chalco,-99.66666667,19.33333333
Zea mays subsp. mexicana raza Chalco,-99.76666667,19.3
Zea mays subsp. mexicana raza Chalco,-99.68333333,19.25
Zea mays subsp. mexicana raza Chalco,-99.55,19.2
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.06666667
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.11666667
Zea mays subsp. mexicana raza Chalco,-98.86666667,19.21666667
Zea mays subsp. mexicana raza Chalco,-98.85,19.13333333
Zea mays subsp. mexicana raza Chalco,-98.86666667,19.18333333
Zea mays subsp. parviglumis raza Balsas,-99.46666667,17.38333333
Zea mays subsp. parviglumis raza Balsas,-99.4,17.4
Zea mays subsp. parviglumis raza Balsas,-99.78333333,18.5
Zea mays subsp. parviglumis raza Balsas,-99.21666667,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.21666667
Zea mays subsp. parviglumis raza Balsas,-100.1333333,18.36666667
Zea mays subsp. parviglumis raza Balsas,-101.2,19.05
Zea mays subsp. parviglumis raza Balsas,-101.1833333,19.05
Zea mays subsp. parviglumis raza Balsas,-100.3333333,18.78333333
Zea mays subsp. parviglumis raza Balsas,-100.2333333,18.83333333
Zea mays subsp. parviglumis raza Balsas,-100.2,18.88333333
Zea mays subsp. parviglumis raza Balsas,-100.2333333,18.85
Zea mays subsp. parviglumis raza Balsas,-100.2833333,18.8
Zea mays subsp. parviglumis raza Balsas,-100.35,18.63333333
Zea mays subsp. parviglumis raza Balsas,-100.2833333,19.03333333
Zea mays subsp. parviglumis raza Balsas,-100.25,19.06666667
Zea mays subsp. parviglumis raza Balsas,-100.35,19.13333333
Zea mays subsp. mexicana raza Mesa Central,-100.6166667,19.68333333
Zea mays subsp. parviglumis raza Balsas,-100.9166667,19.46666667
Zea mays subsp. parviglumis raza Balsas,-100.9166667,19.55
Zea mays subsp. parviglumis raza Balsas,-104.8166667,19.7
Zea mays subsp. parviglumis raza Balsas,-104.85,19.75
Zea mays subsp. parviglumis raza Balsas,-104.8333333,19.76666667
Zea mays subsp. parviglumis raza Balsas,-104.1666667,19.88333333
Zea diploperennis,-104.3,19.6
Zea mays subsp. mexicana raza Chalco,-99.58333333,19.21666667
Zea mays subsp. mexicana raza Chalco,-98.8,19.2
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.13333333
Zea mays subsp. mexicana raza Chalco,-98.75,19.08333333
Zea mays subsp. parviglumis raza Balsas,-99.46666667,17.4
Zea mays subsp. parviglumis raza Balsas,-99.43333333,17.41666667
Zea mays subsp. parviglumis raza Balsas,-99.5,17.28333333
Zea mays subsp. parviglumis raza Balsas,-99.8,18.5
Zea mays subsp. parviglumis raza Balsas,-99.8,18.33333333
Zea mays subsp. parviglumis raza Balsas,-99.9,18.4
Zea mays subsp. parviglumis raza Balsas,-100.0666667,18.38333333
Zea mays subsp. parviglumis raza Balsas,-100.4,18.68333333
Zea mays subsp. parviglumis raza Balsas,-100.3166667,18.7
Zea mays subsp. parviglumis raza Balsas,-100.3166667,18.98333333
Zea mays subsp. parviglumis raza Balsas,-100.9166667,19.5
Zea mays subsp. parviglumis raza Balsas,-100.9,19.38333333
Zea mays subsp. parviglumis raza Balsas,-100.9,18.83333333
Zea mays subsp. mexicana raza Mesa Central,-101.2166667,19.88333333
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,20.15
Zea mays subsp. mexicana raza Nobogame,-106.9333333,26.21666667
Zea perennis,-103.5833333,19.66666667
Zea diploperennis,-104.2166667,19.53333333
Zea mays subsp. mexicana raza Chalco,-98.85,19.25
Zea diploperennis,-104.2833333,19.58333333
Zea mays subsp. parviglumis raza Balsas,-104.3833333,19.56666667
Zea mays subsp. parviglumis raza Balsas,-104.3833333,19.56666667
Zea diploperennis,-104.2166667,19.53333333
Zea mays subsp. parviglumis raza Balsas,-104.0166667,19.43333333
Zea mays subsp. parviglumis raza Balsas,-104.0333333,19.45
Zea mays subsp. mexicana raza Mesa Central,-101.7333333,19.91666667
Zea mays subsp. parviglumis raza Balsas,-99.4,17.4
Zea mays subsp. mexicana raza Chalco,-97.45,18.91666667
Zea mays subsp. parviglumis raza Balsas,-104.1666667,19.88333333
Zea mays subsp. parviglumis raza Balsas,-103.9833333,19.93333333
Zea mays subsp. parviglumis raza Balsas,-104.1,19.9
Zea mays subsp. parviglumis raza Balsas,-104.05,19.93333333
Zea mays subsp. parviglumis raza Balsas,-104.05,19.53333333
Zea mays subsp. parviglumis raza Balsas,-104.05,19.96666667
Zea mays subsp. parviglumis raza Balsas,-104.1666667,19.88333333
Zea mays subsp. parviglumis raza Balsas,-104.05,19.51666667
Zea mays subsp. parviglumis raza Balsas,-104.15,19.95
Zea mays subsp. mexicana raza Mesa Central,-101.6,19.41666667
Zea mays subsp. parviglumis raza Balsas,-100.9211111,19.54166667
Zea mays subsp. parviglumis raza Balsas,-100.9227778,19.48916667
Zea mays subsp. parviglumis raza Balsas,-100.9183333,19.47138889
Zea mays subsp. parviglumis raza Balsas,-100.7838889,19.22472222
Zea mays subsp. parviglumis raza Balsas,-100.9036111,19.44916667
Zea mays subsp. parviglumis raza Balsas,-101.3408333,19.22555556
Zea mays subsp. parviglumis raza Balsas,-101.3408333,19.22555556
Zea mays subsp. parviglumis raza Balsas,-101.3416667,19.19833333
Zea mays subsp. parviglumis raza Balsas,-101.32,19.06916667
Zea mays subsp. parviglumis raza Balsas,-101.2927778,19.07222222
Zea mays subsp. parviglumis raza Balsas,-101.2002778,19.06805556
Zea mays subsp. parviglumis raza Balsas,-101.1919444,19.07166667
Zea mays subsp. parviglumis raza Balsas,-101.4422222,19.15861111
Zea mays subsp. parviglumis raza Balsas,-101.4547222,19.08888889
Zea mays subsp. parviglumis raza Balsas,-101.0627778,18.97166667
Zea mays subsp. parviglumis raza Balsas,-101.4422222,19.15861111
Zea mays subsp. parviglumis raza Balsas,-100.4494444,19.3175
Zea mays subsp. parviglumis raza Balsas,-100.4561111,19.31944444
Zea mays subsp. parviglumis raza Balsas,-100.4494444,19.3175
Zea mays subsp. parviglumis raza Balsas,-100.4336111,19.28972222
Zea mays subsp. parviglumis raza Balsas,-100.7022222,19.22944444
Zea mays subsp. parviglumis raza Balsas,-100.7508333,19.04666667
Zea mays subsp. parviglumis raza Balsas,-101.9008333,19.3075
Zea mays subsp. parviglumis raza Balsas,-101.9008333,19.3075
Zea mays subsp. parviglumis raza Balsas,-101.4891667,19.13305556
Zea mays subsp. parviglumis raza Balsas,-100.9036111,19.44916667
Zea mays subsp. parviglumis raza Balsas,-100.8269444,19.33777778
Zea mays subsp. parviglumis raza Balsas,-100.7508333,19.04666667
Zea mays subsp. parviglumis raza Balsas,-100.7508333,19.04666667
Zea mays subsp. parviglumis raza Balsas,-100.7922222,18.88805556
Zea mays subsp. parviglumis raza Balsas,-100.8433333,18.88444444
Zea mays subsp. parviglumis raza Balsas,-100.8433333,18.88444444
Zea mays subsp. parviglumis raza Balsas,-100.8725,18.86694444
Zea mays subsp. parviglumis raza Balsas,-100.8725,18.86694444
Zea mays subsp. parviglumis raza Balsas,-100.9363889,18.83416667
Zea mays subsp. parviglumis raza Balsas,-100.9541667,18.80888889
Zea mays subsp. parviglumis raza Balsas,-101.4422222,19.15861111
Zea mays subsp. parviglumis raza Balsas,-101.4422222,19.15861111
Zea mays subsp. parviglumis raza Balsas,-100.9363889,18.83416667
Zea mays subsp. parviglumis raza Balsas,-101.9063889,19.34055556
Zea mays subsp. mexicana raza Mesa Central,-101.1391667,19.82305556
Zea mays subsp. mexicana raza Mesa Central,-101.1391667,19.82305556
Zea mays subsp. mexicana raza Mesa Central,-101.0819444,19.88888889
Zea mays subsp. mexicana raza Mesa Central,-101.1163889,19.90972222
Zea mays subsp. mexicana raza Mesa Central,-101.1163889,19.90972222
Zea mays subsp. mexicana raza Mesa Central,-101.1602778,19.90444444
Zea mays subsp. mexicana raza Mesa Central,-101.3,19.90583333
Zea mays subsp. mexicana raza Mesa Central,-101.3177778,19.96222222
Zea mays subsp. mexicana raza Mesa Central,-101.1602778,19.90444444
Zea mays subsp. mexicana raza Mesa Central,-101.1775,20.05416667
Zea mays subsp. mexicana raza Mesa Central,-101.1605556,20.23527778
Zea mays subsp. mexicana raza Mesa Central,-101.2891667,19.99416667
Zea mays subsp. mexicana raza Mesa Central,-101.4694444,20.18944444
Zea mays subsp. mexicana raza Mesa Central,-101.6713889,19.96638889
Zea mays subsp. mexicana raza Mesa Central,-101.9477778,20.24
